ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,ESTRATO,LLAVE_PANEL,CCDD,AREA_ENCUESTA,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,C361_1,C361_2,C361_3,C361_4,C361_5,C361_6,C361_7,C361_8,C362_1,C362_2,C362_3,C362_4,C362_5,C362_6,C362_7,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,Informal_P,FAC300_ANUAL
2022,01,07058,2,0128,1,1,4,202201070582012811,01,1,1,1,2, ,2,21,1,1,26,7,2000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,5,4,1,2,2,2,2,1,2,2,2, , , , ,5, , , ,2, ,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,10,9,2, , , , , , , , , ,0, , ,1, ,2.65310263633728
2022,01,07058,2,0128,1,2,4,202201070582012812,01,1,3,1,2, ,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , ,1, , 
2022,01,07058,2,0132,1,1,4,202201070582013211,01,1,1,1,2, ,1,48,1,1,10,9,1973,1, , , , , , , , , , , , , , , ,1114,8412,3,2, , ,5,1950,0,8,8,8,8,8,0,40,5,45,2,50,1,1,1,2,4,4500, , , ,2000, , , , , , , , , , ,1,1,2,2,2,2,2,2,2,1, , , , , , , ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4500, , , ,2000, , , ,50,6500,4500,6550,1,2,2.31575918197632
2022,01,07058,2,0132,1,2,4,202201070582013212,01,1,2,1,2, ,2,35,2,2,8,3,1986,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,2, , ,1,1,2,2,2,2,2,2,2,4, , , , , , , ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,3, , , , , , , , , ,0, , ,1, ,2.70536160469055
2022,01,07058,2,0132,1,3,4,202201070582013213,01,1,3,1,1, ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , ,0, , 
2022,01,07058,2,0132,1,4,4,202201070582013214,01,1,3,1,2, ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , ,1, , 
2022,01,07058,2,0133,1,1,4,202201070582013311,01,1,1,1,2, ,2,56,1,1,22,12,1965,1, , , , , , , , , , , , , , , ,5212,4711,2, ,2,2,1,2,0,14,12,10,14,10,0,60, ,60,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2,2,2,2,1,2,2,2, , , , ,5, , , ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1, , ,360,600, , , , , ,960,960,960,1,2,2.01087927818298
2022,01,07058,2,0133,1,2,4,202201070582013314,01,1,3,1,1, ,2,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , ,0, , 
2022,01,07062,1,0025,1,1,4,202201070621002511,01,1,1,1,2, ,1,32,1,1,6,5,1989,1, , , , , , , , , , , , , , , ,6112,0127,2, ,3,2,1,1,0,8,0,8,0,0,0,16, ,16,2,32,2, ,2,2, , , , , , , , , , , , , , , , ,1,2,2,2,2,1,2,2,2, , , , ,5, , , ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,10,7,1, , ,992,125, , , , , ,1117,1117,1117,1,1,5.40322399139404
2022,01,07062,1,0025,1,2,4,202201070621002512,01,1,2,1,2, ,2,32,2,2,26,4,1989,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,2,2,2,2,1,2,2,2, , , , ,5, , , ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , ,0, , ,1, ,3.98485493659973
2022,01,07062,1,0025,1,3,4,202201070621002513,01,1,3,1,2, ,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , ,1, , 
2022,01,07062,1,0025,1,4,4,202201070621002514,01,1,3,1,2, ,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , ,1, , 
2022,01,07062,20,0085,1,1,4,2022010706220008511,01,1,1,1,2, ,1,43,1,1,30,10,1978,1, , , , , , , , , , , , , , , ,0220,8423,3,1, , , , ,0,0,0,0,8,10,8,26, ,26,2,65,2, ,2,2,4,3350, , , , , , , , , , , , , , ,1,2,2,2,1,2,2,2,2, , , ,1, , , , ,2, ,2, ,2, ,1,1,11,5, ,2,2,2,2,2,2,10,7,1,3350, , , , , , , ,83,3350,3350,3433,1,2,4.1074390411377
